iter	RMSE
0	74131.94936
1	69806.71679
2	66077.42122
3	61802.02199
4	58588.18385
5	55515.78667
6	52620.51587
7	49971.80578
8	47552.54993
9	45404.08473
10	43330.06045
11	41290.75144
12	39399.49053
13	37839.72432
14	36352.17645
15	34914.96475
16	33651.50781
17	32478.7257
18	31387.82138
19	30624.89241
20	29968.52877
21	29140.13925
22	28455.73108
23	27900.26581
24	27342.81882
25	26818.62723
26	26236.93588
27	25657.38001
28	25144.77331
29	24698.83225
30	24351.79631
31	23925.42403
32	23603.85756
33	23228.70725
34	22953.58123
35	22712.85622
36	22401.85098
37	22033.58927
38	21721.402
39	21443.41525
40	21247.79917
41	21011.00892
42	20858.76049
43	20733.04013
44	20549.79255
45	20465.9693
46	20244.15957
47	20078.42913
48	19976.67697
49	19833.9559
50	19704.518
51	19631.97511
52	19491.51148
53	19449.22624
54	19352.68165
55	19313.98241
56	19299.99933
57	19151.93631
58	19075.8005
59	18938.80413
60	18860.81351
61	18758.73174
62	18663.50038
63	18559.26135
64	18473.01713
65	18333.99885
66	18233.98648
67	18136.32764
68	18085.02692
69	18001.71662
70	17954.10233
71	17904.56398
72	17792.98729
73	17696.91585
74	17603.44846
75	17511.3615
76	17436.38415
77	17354.64754
78	17312.28194
79	17267.12273
80	17236.2423
81	17204.52926
82	17158.55373
83	17059.74594
84	16993.03767
85	16923.47246
86	16843.29639
87	16787.04167
88	16750.37162
89	16684.72764
90	16626.56357
91	16549.14054
92	16449.40368
93	16396.64662
94	16287.52439
95	16220.81356
96	16098.03895
97	16047.10034
98	15940.31862
99	15866.71407
100	15777.5913
101	15704.99524
102	15632.89354
103	15572.48252
104	15490.43248
105	15452.92701
106	15431.11685
107	15364.31347
108	15302.24492
109	15267.36153
110	15204.18444
111	15157.75413
112	15127.43232
113	15114.77088
114	15102.53165
115	15090.91545
116	15000.03613
117	14925.48149
118	14874.91801
119	14838.41104
120	14764.09909
121	14718.12515
122	14632.7017
123	14602.49801
124	14561.71132
125	14548.56149
126	14501.20317
127	14441.59636
128	14375.56263
129	14303.68105
130	14234.05291
131	14168.93522
132	14145.17287
133	14136.27398
134	14104.16452
135	14038.163
136	13989.68548
137	13945.5392
138	13900.40999
139	13843.32565
140	13787.40194
141	13764.93573
142	13738.36547
143	13723.32991
144	13712.78127
145	13639.53442
146	13597.63396
147	13560.41653
148	13510.29936
149	13475.60524
150	13423.54503
151	13394.55991
152	13373.73494
153	13335.69248
154	13273.47094
155	13223.5999
156	13166.15906
157	13108.94921
158	13095.16253
159	13042.04973
160	12982.15341
161	12938.16229
162	12919.11003
163	12874.9058
164	12844.02579
165	12781.40319
166	12758.31548
167	12720.95897
168	12675.49025
169	12623.57529
170	12595.20542
171	12542.79421
172	12494.76187
173	12483.70448
174	12445.75005
175	12423.88964
176	12394.42374
177	12351.12297
178	12345.51875
179	12291.79508
180	12220.26212
181	12188.37219
182	12151.15086
183	12145.4921
184	12140.95716
185	12087.71825
186	12033.44198
187	12007.74221
188	11978.634
189	11975.33581
