iter	Passed	Remaining
0	162	162825
1	171	85798
2	180	60039
3	186	46335
4	191	38038
5	196	32553
6	199	28344
7	203	25235
8	206	22726
9	209	20717
10	212	19117
11	216	17818
12	220	16741
13	223	15750
14	226	14876
15	229	14108
16	232	13451
17	235	12873
18	238	12329
19	241	11836
20	245	11451
21	248	11055
22	252	10714
23	255	10400
24	260	10175
25	264	9915
26	269	9722
27	273	9498
28	276	9262
29	279	9036
30	283	8850
31	285	8647
32	289	8472
33	292	8303
34	295	8146
35	299	8010
36	302	7863
37	304	7717
38	307	7580
39	310	7460
40	313	7343
41	317	7232
42	320	7124
43	323	7018
44	325	6912
45	329	6828
46	332	6740
47	335	6648
48	337	6558
49	340	6471
50	343	6395
51	346	6320
52	349	6245
53	352	6171
54	355	6101
55	358	6037
56	361	5985
57	364	5926
58	367	5867
59	370	5804
60	373	5747
61	377	5709
62	387	5757
63	392	5736
64	395	5692
65	399	5655
66	404	5632
67	407	5588
68	413	5573
69	416	5533
70	419	5492
71	422	5448
72	429	5456
73	433	5421
74	436	5383
75	441	5373
76	445	5343
77	448	5303
78	451	5262
79	454	5231
80	458	5201
81	462	5172
82	464	5135
83	467	5099
84	471	5078
85	476	5059
86	478	5025
87	481	4991
88	484	4957
89	488	4939
90	491	4908
91	494	4877
92	496	4846
93	499	4816
94	503	4796
95	506	4768
96	509	4742
97	512	4714
98	515	4691
99	519	4672
100	522	4650
101	525	4625
102	528	4600
103	531	4575
104	534	4559
105	537	4536
106	540	4511
107	543	4487
108	546	4464
109	549	4449
110	553	4429
111	556	4408
112	558	4386
113	561	4365
114	564	4345
115	570	4346
116	573	4328
117	576	4307
118	579	4286
119	584	4288
120	587	4270
121	591	4256
122	594	4239
123	600	4241
124	603	4227
125	606	4210
126	610	4194
127	614	4185
128	617	4170
129	620	4154
130	623	4139
131	627	4123
132	631	4113
133	633	4095
134	636	4078
135	639	4060
136	642	4045
137	646	4036
138	649	4023
139	652	4008
140	655	3992
141	658	3977
142	662	3967
143	665	3956
144	668	3940
145	671	3926
146	674	3911
147	678	3903
148	680	3888
149	683	3872
150	686	3858
151	689	3843
152	692	3834
153	695	3820
154	698	3806
155	701	3793
156	704	3780
157	706	3766
158	710	3758
159	713	3745
160	716	3732
161	719	3719
162	721	3706
163	725	3698
164	728	3686
165	731	3674
166	733	3660
167	736	3648
168	740	3639
169	742	3627
170	745	3615
171	748	3603
172	751	3591
173	754	3580
174	758	3574
175	761	3563
176	763	3551
177	766	3539
178	769	3528
179	774	3526
180	779	3527
181	782	3516
182	785	3505
183	791	3508
184	794	3499
185	798	3492
186	800	3481
187	805	3479
188	808	3469
189	811	3458
190	813	3447
191	816	3436
192	820	3431
193	823	3421
194	826	3410
195	828	3399
196	832	3392
197	836	3387
198	840	3381
199	843	3372
200	846	3364
201	849	3356
202	853	3350
203	856	3341
204	859	3332
205	862	3325
206	867	3322
207	871	3319
208	874	3311
209	878	3303
210	881	3294
211	885	3290
212	887	3280
213	890	3271
214	893	3262
215	896	3253
216	900	3249
217	903	3241
218	907	3235
219	910	3227
220	913	3218
221	916	3213
222	919	3204
223	922	3195
224	925	3186
225	927	3178
226	931	3173
227	934	3164
228	937	3157
229	941	3150
230	946	3151
231	950	3147
232	955	3146
233	960	3142
234	967	3149
235	972	3149
236	976	3143
237	984	3153
238	988	3148
239	992	3143
240	1002	3155
241	1007	3156
242	1016	3166
243	1020	3160
244	1023	3154
245	1030	3159
246	1034	3154
247	1038	3149
248	1044	3151
249	1050	3150
250	1053	3144
251	1057	3139
252	1064	3142
253	1067	3136
254	1070	3128
255	1074	3121
256	1078	3119
257	1082	3112
258	1085	3105
259	1088	3098
260	1092	3093
261	1095	3087
262	1099	3081
263	1103	3075
264	1109	3077
265	1113	3072
266	1117	3066
267	1123	3067
268	1127	3063
269	1131	3058
270	1134	3051
271	1138	3047
272	1142	3042
273	1145	3036
274	1148	3029
275	1156	3033
276	1161	3031
277	1166	3029
278	1172	3029
279	1176	3025
280	1179	3018
281	1184	3015
282	1188	3010
283	1191	3004
284	1194	2996
285	1200	2996
286	1207	3000
287	1210	2993
288	1213	2985
289	1217	2979
290	1220	2974
291	1223	2967
292	1226	2960
293	1229	2952
294	1233	2948
295	1236	2941
296	1239	2934
297	1242	2926
298	1245	2919
299	1249	2915
300	1252	2908
301	1255	2901
302	1258	2894
303	1261	2887
304	1264	2880
305	1268	2876
306	1271	2869
307	1274	2862
308	1276	2855
309	1280	2849
310	1284	2845
311	1290	2845
312	1293	2839
313	1298	2836
314	1302	2832
315	1305	2825
316	1308	2818
317	1311	2811
318	1314	2807
319	1317	2800
320	1320	2793
321	1323	2786
322	1326	2779
323	1330	2775
324	1332	2768
325	1335	2761
326	1338	2754
327	1341	2747
328	1345	2744
329	1348	2738
330	1351	2731
331	1354	2724
332	1356	2717
333	1360	2713
334	1364	2708
335	1367	2701
336	1370	2695
337	1373	2689
338	1377	2685
339	1380	2679
340	1382	2672
341	1385	2665
342	1389	2661
343	1393	2657
344	1396	2651
345	1399	2645
346	1402	2639
347	1407	2637
348	1410	2631
349	1415	2628
350	1418	2622
351	1421	2616
352	1424	2611
353	1427	2605
354	1430	2598
355	1433	2592
356	1436	2587
357	1440	2582
358	1443	2576
359	1446	2570
360	1448	2564
361	1451	2558
362	1454	2552
363	1458	2548
364	1461	2542
365	1464	2536
366	1467	2530
367	1469	2524
368	1474	2521
369	1477	2516
370	1481	2511
371	1483	2504
372	1487	2500
373	1490	2494
374	1493	2488
375	1496	2483
376	1498	2477
377	1501	2471
378	1505	2466
379	1507	2460
380	1510	2454
381	1513	2448
382	1516	2442
383	1519	2437
384	1522	2432
385	1525	2426
386	1527	2420
387	1530	2414
388	1533	2408
389	1537	2404
390	1540	2400
391	1543	2394
392	1546	2388
393	1549	2383
394	1553	2379
395	1556	2374
396	1559	2368
397	1562	2362
398	1565	2357
399	1568	2353
400	1571	2347
401	1574	2342
402	1577	2336
403	1579	2330
404	1585	2329
405	1588	2324
406	1591	2318
407	1594	2313
408	1598	2309
409	1602	2305
410	1605	2300
411	1608	2296
412	1611	2290
413	1616	2287
414	1619	2282
415	1621	2276
416	1624	2270
417	1627	2265
418	1630	2261
419	1634	2256
420	1636	2251
421	1639	2245
422	1642	2240
423	1646	2236
424	1650	2232
425	1653	2228
426	1657	2223
427	1659	2218
428	1665	2216
429	1669	2212
430	1672	2207
431	1675	2203
432	1680	2200
433	1684	2196
434	1687	2191
435	1690	2186
436	1693	2181
437	1698	2179
438	1702	2176
439	1705	2170
440	1709	2166
441	1713	2163
442	1717	2159
443	1720	2154
444	1723	2149
445	1728	2146
446	1731	2142
447	1734	2136
448	1737	2131
449	1740	2127
450	1744	2123
451	1747	2118
452	1750	2113
453	1753	2108
454	1756	2104
455	1759	2099
456	1762	2094
457	1765	2088
458	1767	2083
459	1770	2078
460	1774	2075
461	1777	2070
462	1780	2065
463	1783	2059
464	1786	2054
465	1789	2050
466	1793	2047
467	1796	2042
468	1799	2037
469	1802	2032
470	1806	2028
471	1810	2025
472	1813	2020
473	1817	2016
474	1821	2012
475	1825	2009
476	1828	2004
477	1831	1999
478	1833	1994
479	1837	1991
480	1841	1987
481	1844	1982
482	1846	1976
483	1849	1971
484	1854	1969
485	1857	1964
486	1860	1959
487	1863	1954
488	1865	1949
489	1869	1945
490	1872	1941
491	1875	1936
492	1877	1931
493	1880	1926
494	1884	1922
495	1887	1918
496	1890	1913
497	1893	1908
498	1896	1904
499	1900	1900
500	1903	1896
501	1906	1891
502	1909	1886
503	1912	1881
504	1915	1877
505	1919	1874
506	1923	1869
507	1925	1865
508	1928	1860
509	1931	1856
510	1935	1852
511	1938	1847
512	1941	1843
513	1944	1838
514	1948	1834
515	1950	1829
516	1953	1825
517	1956	1820
518	1959	1816
519	1962	1811
520	1965	1807
521	1968	1802
522	1971	1798
523	1974	1793
524	1976	1788
525	1980	1784
526	1983	1780
527	1987	1776
528	1990	1771
529	1993	1767
530	1997	1764
531	2002	1761
532	2005	1756
533	2008	1752
534	2013	1750
535	2016	1745
536	2019	1741
537	2022	1736
538	2025	1731
539	2029	1728
540	2032	1724
541	2035	1720
542	2038	1715
543	2041	1711
544	2045	1708
545	2048	1703
546	2051	1699
547	2054	1694
548	2057	1690
549	2061	1686
550	2064	1682
551	2066	1677
552	2069	1673
553	2072	1668
554	2076	1664
555	2079	1660
556	2082	1655
557	2084	1651
558	2087	1647
559	2092	1643
560	2095	1640
561	2099	1636
562	2103	1632
563	2109	1630
564	2113	1627
565	2121	1626
566	2129	1626
567	2133	1622
568	2137	1618
569	2143	1616
570	2148	1614
571	2160	1616
572	2168	1615
573	2173	1613
574	2177	1609
575	2182	1606
576	2188	1604
577	2193	1601
578	2202	1601
579	2207	1598
580	2212	1595
581	2216	1592
582	2222	1589
583	2227	1586
584	2231	1582
585	2239	1582
586	2245	1580
587	2252	1578
588	2257	1574
589	2263	1572
590	2268	1569
591	2274	1567
592	2278	1564
593	2282	1559
594	2289	1558
595	2292	1554
596	2296	1550
597	2299	1545
598	2306	1544
599	2309	1539
600	2312	1535
601	2316	1531
602	2319	1526
603	2322	1522
604	2324	1517
605	2327	1513
606	2330	1508
607	2334	1504
608	2336	1500
609	2339	1495
610	2342	1491
611	2345	1487
612	2350	1483
613	2354	1480
614	2357	1475
615	2360	1471
616	2363	1466
617	2366	1462
618	2369	1458
619	2371	1453
620	2374	1449
621	2380	1446
622	2383	1442
623	2386	1437
624	2388	1433
625	2395	1431
626	2400	1428
627	2405	1424
628	2408	1420
629	2411	1416
630	2415	1412
631	2418	1408
632	2421	1403
633	2424	1399
634	2427	1395
635	2430	1391
636	2433	1386
637	2438	1383
638	2441	1379
639	2445	1375
640	2448	1371
641	2451	1367
642	2454	1362
643	2456	1358
644	2460	1354
645	2463	1350
646	2467	1346
647	2470	1341
648	2473	1337
649	2477	1333
650	2480	1329
651	2483	1325
